"Company Name","Domain","New Column","Website","LinkedIn URL","Founded Year","Revenue","Revenue (USD)","Tier","SaaS Status & Reason"
"Andreessen Horowitz","a16z.com",,"http://www.a16z.com","http://www.linkedin.com/company/a16z","2009","150M",150000000,"Tier 1","false"
"Braintrust","usebraintrust.com",,"http://www.usebraintrust.com","http://www.linkedin.com/company/usebraintrust","2018","54.9M",54900000,"Tier 1","true"
"Sequoia Capital","sequoiacap.com",,"http://www.sequoiacap.com","http://www.linkedin.com/company/sequoia","1972","192M",192000000,"Tier 1","false"
"edX","edx.org",,"http://www.edx.org","http://www.linkedin.com/school/edx","2012","210M",210000000,"Tier 1","true"
"WalkMe","walkme.com",,"http://www.walkme.com","http://www.linkedin.com/company/walkme","2011","268.4M",268416000,"Tier 1","true"
"Sprinto","sprinto.com",,"http://www.sprinto.com","http://www.linkedin.com/company/sprinto-com","2020","12M",12000000,"Tier 1","true"
"Lucidity","lucidity.cloud",,"http://www.lucidity.cloud","http://www.linkedin.com/company/lucidity-cloud","2021","18.9M",18900000,"Tier 1","true"
"Vista Equity Partners","vistaequitypartners.com",,"http://www.vistaequitypartners.com","http://www.linkedin.com/company/vista-equity-partners","2000","224.5M",224500000,"Tier 1","false"
"SevenRooms","sevenrooms.com",,"http://www.sevenrooms.com","http://www.linkedin.com/company/sevenrooms","2011","43M",43000000,"Tier 1","true"
"Khoros","khoros.com",,"http://www.khoros.com","http://www.linkedin.com/company/khoros","2019","284.3M",284300000,"Tier 1","true"
"InVision","invisionapp.com",,"http://www.invisionapp.com","http://www.linkedin.com/company/invisionapp","2011","63.3M",63300000,"Tier 1","true"
"Versapay","versapay.com",,"http://www.versapay.com","http://www.linkedin.com/company/versapay","2006","42M",42000000,"Tier 1","true"
"PandaDoc","pandadoc.com",,"http://www.pandadoc.com","http://www.linkedin.com/company/pandadoc","2014","100M",100000000,"Tier 1","true"
"Capital Rx","judi.health",,"http://www.judi.health","http://www.linkedin.com/company/cap-rx","2017","31M",31000000,"Tier 1","true"
"GreyOrange","greyorange.com",,"http://www.greyorange.com","http://www.linkedin.com/company/gogreyorange","2012","146M",146000000,"Tier 1","false"
"Pendo.io","pendo.io",,"http://www.pendo.io","http://www.linkedin.com/company/pendo-io","2013","200M",200000000,"Tier 1","true"
"Cloudbeds","cloudbeds.com",,"http://www.cloudbeds.com","http://www.linkedin.com/company/cloudbeds","2012","84.8M",84800000,"Tier 1","true"
"Mindtickle","mindtickle.com",,"http://www.mindtickle.com","http://www.linkedin.com/company/mindtickle","2012","168.4M",168400000,"Tier 1","true"
"Greylock Partners","greylock.com",,"http://www.greylock.com","http://www.linkedin.com/company/greylock-partners","1965","75M",75000000,"Tier 1","false"
"AI Automation Newsletter","medium.com",,"http://www.medium.com","http://www.linkedin.com/company/aitoolsnjobs","2011","42.5M",42500000,"Tier 1","false"
"Rock Content","rockcontent.com",,"http://www.rockcontent.com","http://www.linkedin.com/company/rockcontent","2013","116.3M",116300000,"Tier 1","true"
"Sumo Logic","sumologic.com",,"http://www.sumologic.com","http://www.linkedin.com/company/sumo-logic","2010","300.7M",300668000,"Tier 1","true"
"Ontop","getontop.com",,"http://www.getontop.com","http://www.linkedin.com/company/ontopai","2020","15M",15000000,"Tier 1","true"
"Lynda.com","lynda.com",,"http://www.lynda.com","http://www.linkedin.com/company/lynda-com","1995","260M",260000000,"Tier 1","true"
