Company Name,Domain,Website,LinkedIn URL,Founded Year,Revenue,Revenue (USD),Tier,SaaS Status & Reason
Braintrust,usebraintrust.com,https://www.usebraintrust.com,https://www.linkedin.com/company/usebraintrust,2018.0,54.9M,54900000.0,Tier 1,True
edX,edx.org,https://www.edx.org,https://www.linkedin.com/school/edx,2012.0,210M,210000000.0,Tier 1,True
WalkMe,walkme.com,https://www.walkme.com,https://www.linkedin.com/company/walkme,2011.0,268.4M,268416000.0,Tier 1,True
Sprinto,sprinto.com,https://www.sprinto.com,https://www.linkedin.com/company/sprinto-com,2020.0,12M,12000000.0,Tier 1,True
Lucidity,lucidity.cloud,https://www.lucidity.cloud,https://www.linkedin.com/company/lucidity-cloud,2021.0,18.9M,18900000.0,Tier 1,True
SevenRooms,sevenrooms.com,https://www.sevenrooms.com,https://www.linkedin.com/company/sevenrooms,2011.0,43M,43000000.0,Tier 1,True
Khoros,khoros.com,https://www.khoros.com,https://www.linkedin.com/company/khoros,2019.0,284.3M,284300000.0,Tier 1,True
InVision,invisionapp.com,https://www.invisionapp.com,https://www.linkedin.com/company/invisionapp,2011.0,63.3M,63300000.0,Tier 1,True
Versapay,versapay.com,https://www.versapay.com,https://www.linkedin.com/company/versapay,2006.0,42M,42000000.0,Tier 1,True
PandaDoc,pandadoc.com,https://www.pandadoc.com,https://www.linkedin.com/company/pandadoc,2014.0,100M,100000000.0,Tier 1,True
Capital Rx,judi.health,https://www.judi.health,https://www.linkedin.com/company/cap-rx,2017.0,31M,31000000.0,Tier 1,True
Pendo.io,pendo.io,https://www.pendo.io,https://www.linkedin.com/company/pendo-io,2013.0,200M,200000000.0,Tier 1,True
Cloudbeds,cloudbeds.com,https://www.cloudbeds.com,https://www.linkedin.com/company/cloudbeds,2012.0,84.8M,84800000.0,Tier 1,True
Mindtickle,mindtickle.com,https://www.mindtickle.com,https://www.linkedin.com/company/mindtickle,2012.0,168.4M,168400000.0,Tier 1,True
Rock Content,rockcontent.com,https://www.rockcontent.com,https://www.linkedin.com/company/rockcontent,2013.0,116.3M,116300000.0,Tier 1,True
Sumo Logic,sumologic.com,https://www.sumologic.com,https://www.linkedin.com/company/sumo-logic,2010.0,300.7M,300668000.0,Tier 1,True
Ontop,getontop.com,https://www.getontop.com,https://www.linkedin.com/company/ontopai,2020.0,15M,15000000.0,Tier 1,True
AppDirect,appdirect.com,https://www.appdirect.com,https://www.linkedin.com/company/appdirect,2009.0,227M,227000000.0,Tier 1,True
Abacus.AI,abacus.ai,https://www.abacus.ai,https://www.linkedin.com/company/abacusai,2019.0,30M,30000000.0,Tier 1,True
Airtable,airtable.com,https://www.airtable.com,https://www.linkedin.com/company/airtable,2012.0,478M,478000000.0,Tier 1,True
Paystack,paystack.com,https://www.paystack.com,https://www.linkedin.com/company/paystack,2015.0,51M,51000000.0,Tier 1,True
Pixis,pixis.ai,https://www.pixis.ai,https://www.linkedin.com/company/pixisai,2018.0,55.5M,55500000.0,Tier 1,True
Fortanix,fortanix.com,https://www.fortanix.com,https://www.linkedin.com/company/fortanix,2016.0,24.9M,24900000.0,Tier 1,True
Chainalysis,chainalysis.com,https://www.chainalysis.com,https://www.linkedin.com/company/chainalysis,2014.0,325.1M,325100000.0,Tier 1,True
"Drift, a Salesloft company",drift.com,https://www.drift.com,https://www.linkedin.com/company/drift,2015.0,135M,135000000.0,Tier 1,True
Crunchbase,crunchbase.com,https://www.crunchbase.com,https://www.linkedin.com/company/crunchbase,2007.0,65M,65000000.0,Tier 1,True
Handshake,joinhandshake.com,https://www.joinhandshake.com,https://www.linkedin.com/company/team-handshake,2014.0,280M,280000000.0,Tier 1,True
Yellow.ai,yellow.ai,https://www.yellow.ai,https://www.linkedin.com/company/yellowdotai,2016.0,79.5M,79500000.0,Tier 1,True
